tenant_id,request_id,model_requested,model_used,decision,reason,tokens_used_today,budget_used_today,evaluated_at
C1_SMALL,req_92568,gpt-4,,block,Model not permitted under current policy tier.,356409,252.3,2026-04-02T21:20:46.341820
C1_SMALL,req_35077,gpt-3.5,,block,Monthly budget cap hit.,102588,20.67,2025-12-05T06:22:44.341820
C1_SMALL,req_55187,gpt-3.5,,block,Daily token limit exceeded.,272927,122.59,2025-12-12T02:45:54.341820
C1_SMALL,req_52395,gpt-3.5,,block,Daily token limit exceeded.,266799,65.32,2026-03-27T06:17:54.341820
C1_SMALL,req_60143,gpt-4,,block,Daily token limit exceeded.,240093,69.97,2026-01-09T02:31:59.341820
C1_SMALL,req_91786,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,363638,343.81,2025-11-05T12:51:22.341820
C1_SMALL,req_99790,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,221508,194.4,2025-12-25T12:52:55.341820
C1_SMALL,req_10602,gpt-4,,block,Model not permitted under current policy tier.,325777,364.99,2026-03-20T21:25:29.341820
C1_SMALL,req_22961,mistral,,block,Monthly budget cap hit.,193649,381.52,2026-01-09T09:14:43.341820
C1_SMALL,req_12075,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,258741,484.9,2025-12-20T23:22:30.341820
C1_SMALL,req_85305,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,389811,375.88,2025-12-03T12:49:08.341820
C1_SMALL,req_80173,gpt-3.5,,block,Daily token limit exceeded.,474593,63.3,2026-03-19T10:46:27.341820
C1_SMALL,req_23573,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,341460,367.98,2025-10-28T05:48:24.341820
C1_SMALL,req_50782,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,347321,232.62,2025-10-26T09:27:42.341820
C1_SMALL,req_53841,mistral,,block,Model not permitted under current policy tier.,175037,410.12,2026-03-08T07:33:13.341820
C1_SMALL,req_59472,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,227797,352.88,2025-12-18T05:57:01.341820
C1_SMALL,req_45132,mistral,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,117424,419.19,2025-11-07T01:38:29.341820
C1_SMALL,req_77977,gpt-4,,block,Daily token limit exceeded.,416618,351.35,2026-02-27T19:24:10.341820
C1_SMALL,req_40609,gpt-4,,block,Daily token limit exceeded.,54792,443.8,2026-02-28T05:29:58.341820
C1_SMALL,req_70711,mistral,,block,Monthly budget cap hit.,187302,312.8,2026-02-17T00:14:31.341820
C1_SMALL,req_84911,gpt-4,,block,Monthly budget cap hit.,174322,333.62,2025-11-14T08:44:17.341820
C1_SMALL,req_81647,gpt-4,,block,Daily token limit exceeded.,100260,412.73,2025-11-13T06:37:04.341820
C1_SMALL,req_88361,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,441013,385.88,2026-02-25T14:45:47.341820
C1_SMALL,req_77632,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,362691,370.26,2026-03-19T01:03:29.341820
C1_SMALL,req_11326,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,32020,472.3,2025-12-02T11:59:17.341820
C1_SMALL,req_79556,mistral,,block,Model not permitted under current policy tier.,63657,251.18,2026-04-06T05:54:37.341820
C1_SMALL,req_53029,gpt-4,gpt-3.5,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,491141,434.8,2025-12-13T02:40:59.341820
C1_SMALL,req_60776,gpt-4,,block,Daily token limit exceeded.,207255,22.44,2026-01-29T06:58:40.341820
C1_SMALL,req_85381,gpt-4,,block,Model not permitted under current policy tier.,416657,339.9,2025-10-27T23:10:19.341820
C1_SMALL,req_49953,gpt-4,,block,Model not permitted under current policy tier.,50576,284.19,2025-10-31T22:09:06.341820
C1_SMALL,req_76334,gpt-3.5,mistral,allow_downgrade,Budget threshold at 80% - downgraded to cheaper model automatically.,388672,491.1,2025-11-17T01:50:23.341820
C1_SMALL,req_15483,gpt-4,,block,Monthly budget cap hit.,231165,332.15,2025-12-08T12:35:28.341820
